config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second,feature_profile,diagnosis_target,diagnosis_mode,family_acc,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,status,min_class_count,min_group_count,group_key,include_workload
tier0,20,0.3,0.55,0.3,0.23896103896103896,0.026874184917512534,0.01965917194031684,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1,20,0.4,0.7,0.4,0.34786324786324785,0.018287166455431304,0.012527534951314367,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.55,0.75,0.55,0.5732600732600732,0.01689141203951298,0.01573621120290876,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0,20,0.2,0.55,0.2,0.17525252525252527,0.018472721791953677,0.014483497667164488,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0_tier1,20,0.15,0.25,0.15,0.11868131868131868,0.07964992163653097,0.06522086349175561,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.15,0.45,0.15,0.17047619047619048,0.06446604786013008,0.025264223555196835,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0,20,0.4,0.6,0.4,0.3333333333333333,-0.00956548935791989,0.001600507515675642,mixed,hierarchical,whole_run,0.5,0.45,0.55,0.4444444444444444,0.5555555555555556,0.4,0.29333333333333333,0.016104973423391417,0.015766078336463447,0.012014473380825695,0.06785264910928097,,,,,
tier0_tier1,20,0.3,0.65,0.3,0.27999999999999997,-0.0005822170532158513,0.00025398421057368226,mixed,hierarchical,whole_run,0.4,0.6,0.4,0.4166666666666667,0.6666666666666666,0.3666666666666666,0.3888888888888889,0.022480487878770876,0.023534762437402712,0.015606251570383336,0.020231456490079337,,,,,
tier0_tier1_tier2,20,0.5,0.75,0.5,0.4624242424242424,0.007098471645032708,0.003655560357715984,mixed,hierarchical,whole_run,0.35,0.55,0.45,0.7272727272727273,0.9090909090909091,0.7,0.6599999999999999,0.020505979038481982,0.016412449420712863,0.018037333043055923,0.056829365265376186,,,,,
tier0,20,0.4,0.6,0.4,0.36875901875901873,-0.01892096736167769,0.0018051189119807909,mixed,hierarchical,post_alert_window,0.5,0.55,0.45,0.36363636363636365,0.5454545454545454,0.26666666666666666,0.23809523809523808,0.016104973423391417,0.015766078336463447,0.012014473380825695,-0.01590887070699317,,,,,
tier0_tier1,20,0.3,0.35,0.3,0.2013986013986014,-0.05303252187790088,-0.015516642559511892,mixed,hierarchical,post_alert_window,0.4,0.65,0.35,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.26666666666666666,0.022480487878770876,0.023534762437402712,0.015606251570383336,-0.16422633788830204,,,,,
tier0_tier1_tier2,20,0.2,0.4,0.2,0.15272727272727274,0.024181232886928968,0.01271230628230434,mixed,hierarchical,post_alert_window,0.35,0.5,0.5,0.1,0.2,0.1,0.08,0.020505979038481982,0.016412449420712863,0.018037333043055923,0.09605044457933234,,,,,
tier0,20,0.6,0.8,0.5,0.4218181818181818,0.03426699927883327,0.03594278639150987,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1,20,0.5,0.75,0.4444444444444445,0.3567447045707916,0.025808345931267428,0.030214972122981312,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.5,0.75,0.5,0.4490842490842491,0.02595727891776432,0.02741419215442091,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
tier0_tier1,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
tier0_tier1_tier2,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
