config,holdout_workload,case_id,workload,stressor,label,n_features,block_idx,block_start_s,block_end_s,score,pvalue,block_alert,persist_alert,threshold
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,0,0.0,60.0,0.00453240453243392,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,1,1.0,61.0,0.0044860972721508015,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,2,2.0,62.0,0.0044645776303804535,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,3,3.0,63.0,0.0044348120825370395,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,4,4.0,64.0,0.004414423841347884,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,5,5.0,65.0,0.004392136873365768,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,6,6.0,66.0,0.004375874260295279,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,7,7.0,67.0,0.004380249115063689,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,8,8.0,68.0,0.004348810668165816,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,9,9.0,69.0,0.00433973955682558,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,10,10.0,70.0,0.0043485874334686266,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,11,11.0,71.0,0.004329416506771275,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,12,12.0,72.0,0.004325566603681349,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,13,13.0,73.0,0.0043226906575035695,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,14,14.0,74.0,0.004324435286749339,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,15,15.0,75.0,0.004299804468891648,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,16,16.0,76.0,0.0042954414590937575,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,17,17.0,77.0,0.004281537069532946,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,18,18.0,78.0,0.004287310833557289,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,19,19.0,79.0,0.0042204716078955195,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,20,20.0,80.0,0.0042111630091064365,0.2505510653930933,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,21,21.0,81.0,0.004198652007376079,0.25128581925055105,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,22,22.0,82.0,0.004148856286206747,0.25495958853783984,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,23,23.0,83.0,0.00414484714745652,0.2556943423952976,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,24,24.0,84.0,0.004156457389734072,0.25495958853783984,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,25,25.0,85.0,0.004150663227778015,0.25495958853783984,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,26,26.0,86.0,0.004143472804886192,0.2556943423952976,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,27,27.0,87.0,0.004135367122076097,0.25642909625275534,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,28,28.0,88.0,0.004103822183724399,0.2601028655400441,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,29,29.0,89.0,0.0040533390724111626,0.2674504041146216,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,30,30.0,90.0,0.004010273611057826,0.27406318883174136,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,31,31.0,91.0,0.003998925740444047,0.2784717119764879,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,32,32.0,92.0,0.003958767897370504,0.2828802351212344,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,33,33.0,93.0,0.003930388129809884,0.2858192505510654,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,34,34.0,94.0,0.003926972986355589,0.2858192505510654,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,35,35.0,95.0,0.0039031174214807837,0.2894930198383541,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,36,36.0,96.0,0.003904216863063463,0.2894930198383541,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,37,37.0,97.0,0.003899816370947175,0.2894930198383541,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,38,38.0,98.0,0.0038972931156458666,0.2894930198383541,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,39,39.0,99.0,0.0038893905992595608,0.29022777369581193,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,40,40.0,100.0,0.0038898288514760417,0.29022777369581193,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,41,41.0,101.0,0.003878653852068419,0.2909625275532697,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,42,42.0,102.0,0.003870672900780826,0.2909625275532697,0,0,0.012261957023743175
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,43,43.0,103.0,0.0038455926190466947,0.2990448199853049,0,0,0.012261957023743175
