config,holdout_workload,case_id,workload,stressor,label,n_features,block_idx,block_start_s,block_end_s,score,pvalue,block_alert,persist_alert,threshold
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,0,0.0,30.0,0.008575374277163029,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,1,1.0,31.0,0.008522187540354598,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,2,2.0,32.0,0.008670094702192686,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,3,3.0,33.0,0.008717328938384145,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,4,4.0,34.0,0.008729111053669865,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,5,5.0,35.0,0.008777391091846493,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,6,6.0,36.0,0.008795300942856063,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,7,7.0,37.0,0.008802375864683572,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,8,8.0,38.0,0.008672866788988955,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,9,9.0,39.0,0.008647678519687715,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,10,10.0,40.0,0.008629078818958432,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,11,11.0,41.0,0.008593667305387387,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,12,12.0,42.0,0.008579691540562675,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,13,13.0,43.0,0.008632494495123513,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,14,14.0,44.0,0.00869256094771558,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,15,15.0,45.0,0.008649157743530686,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,16,16.0,46.0,0.008713012954840577,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,17,17.0,47.0,0.008662344833862783,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,18,18.0,48.0,0.00866938129330826,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,19,19.0,49.0,0.008448154475175773,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,20,20.0,50.0,0.00841377997564085,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,21,21.0,51.0,0.008410032378061863,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,22,22.0,52.0,0.008307692576470377,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,23,23.0,53.0,0.008263222260111187,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,24,24.0,54.0,0.00830491836170635,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,25,25.0,55.0,0.008300371132663941,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,26,26.0,56.0,0.008284124898083091,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,27,27.0,57.0,0.008214253558810785,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,28,28.0,58.0,0.008229679935549121,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,29,29.0,59.0,0.008164977157116511,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,30,30.0,60.0,0.0080506109421269,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,31,31.0,61.0,0.008019410602026508,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,32,32.0,62.0,0.007855563180523849,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,33,33.0,63.0,0.007733389945305735,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,34,34.0,64.0,0.007677498547655902,0.25050641458474004,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,35,35.0,65.0,0.0075789397110119765,0.25320729237002026,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,36,36.0,66.0,0.007515235831536352,0.25320729237002026,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,37,37.0,67.0,0.007531102070156007,0.25320729237002026,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,38,38.0,68.0,0.0075951590490006505,0.2518568534773801,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,39,39.0,69.0,0.007573233754502571,0.25320729237002026,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,40,40.0,70.0,0.0076085977391826065,0.2518568534773801,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,41,41.0,71.0,0.007584972842488429,0.2525320729237002,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,42,42.0,72.0,0.007590992179532697,0.2525320729237002,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,43,43.0,73.0,0.007533350987826799,0.25320729237002026,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,44,44.0,74.0,0.007492702392800481,0.25455773126266035,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,45,45.0,75.0,0.007476199743282008,0.25523295070898044,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,46,46.0,76.0,0.007400050731064428,0.2673869007427414,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,47,47.0,77.0,0.007400782477476742,0.2667116812964213,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,48,48.0,78.0,0.007390709477910987,0.26941255908170153,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,49,49.0,79.0,0.0074107398798447365,0.262660364618501,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,50,50.0,80.0,0.007446492766719666,0.2565833896016205,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,51,51.0,81.0,0.007430856999645682,0.2586090479405807,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,52,52.0,82.0,0.007385136518441698,0.27076299797434167,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,53,53.0,83.0,0.007397898739306297,0.26806212018906145,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,54,54.0,84.0,0.007410699160708063,0.262660364618501,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,55,55.0,85.0,0.007420566694888988,0.2599594868332208,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,56,56.0,86.0,0.007435122987816539,0.2579338284942606,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,57,57.0,87.0,0.007484467393108989,0.25455773126266035,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,58,58.0,88.0,0.0073600421152388365,0.2734638757596219,0,0,0.021947335433716908
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,46,59,59.0,89.0,0.007304538892862958,0.27819041188386223,0,0,0.021947335433716908
