config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,conf_0.00,0.0,15,0.75,0.25,0.3333333333333333,0.4,0.35,0.24242424242424238,mixed
tier0,conf_0.05,0.05,10,0.5,0.5,0.5,0.5,0.35,0.29333333333333333,mixed
tier0,conf_0.10,0.1,6,0.3,0.7,0.5,0.5,0.4,0.26,mixed
tier0,trained,0.12478164254546678,5,0.25,0.75,0.6,0.6,0.5,0.29333333333333333,mixed
tier0,conf_0.15,0.15,5,0.25,0.75,0.6,0.6,0.5,0.29333333333333333,mixed
tier0,conf_0.20,0.2,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.2,mixed
tier0,conf_0.25,0.25,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.2,mixed
tier0_tier1,conf_0.00,0.0,11,0.55,0.44999999999999996,0.2727272727272727,0.5454545454545454,0.36666666666666664,0.2704761904761905,mixed
tier0_tier1,trained,0.0010144962216028439,11,0.55,0.44999999999999996,0.2727272727272727,0.5454545454545454,0.36666666666666664,0.2704761904761905,mixed
tier0_tier1,conf_0.05,0.05,6,0.3,0.7,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.16666666666666666,mixed
tier0_tier1,conf_0.10,0.1,5,0.25,0.75,0.2,0.6,0.3333333333333333,0.06666666666666667,mixed
tier0_tier1,conf_0.15,0.15,2,0.1,0.9,0.5,1.0,0.5,0.13333333333333333,mixed
tier0_tier1,conf_0.20,0.2,0,0.0,1.0,,,,,mixed
tier0_tier1,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1_tier2,conf_0.00,0.0,16,0.8,0.19999999999999996,0.3125,0.75,0.29999999999999993,0.2976190476190476,mixed
tier0_tier1_tier2,conf_0.05,0.05,8,0.4,0.6,0.25,0.75,0.2,0.19047619047619047,mixed
tier0_tier1_tier2,trained,0.08110551141416936,5,0.25,0.75,0.2,0.6,0.25,0.08,mixed
tier0_tier1_tier2,conf_0.10,0.1,3,0.15,0.85,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1,mixed
tier0_tier1_tier2,conf_0.15,0.15,1,0.05,0.95,1.0,1.0,1.0,0.2,mixed
tier0_tier1_tier2,conf_0.20,0.2,1,0.05,0.95,1.0,1.0,1.0,0.2,mixed
tier0_tier1_tier2,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
