config,holdout_workload,case_id,workload,stressor,label_name,label,block_idx,block_start_s,block_end_s,score,pvalue,phase_guard_applied,phase_template_score,phase_tolerance,phase_excess_score,phase_pvalue,block_alert,persist_alert,is_selected_for_diagnosis,diagnosis_selection_weight,threshold,dominant_tier,dominant_mechanism,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,feature_profile
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,0,0.0,120.0,0.007355768423595306,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,1,0.2005976066997614,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007378975273138108,tier0:net_sent_Pps,0.0004093659602971805,tier0:mem_inactive_bytes,0.00036453823962165723,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,1,1.0,121.0,0.0073335845664144386,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,1,0.19999263541714507,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007433018321566927,tier0:net_sent_Pps,0.0004084537638074045,tier0:mem_inactive_bytes,0.0003648295120843586,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,2,2.0,122.0,0.0073406647360244204,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,1,0.2001857172268218,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.000747837912527561,tier0:net_sent_Pps,0.00041040642659233425,tier0:mem_inactive_bytes,0.0003648750850091745,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,3,3.0,123.0,0.007323184060937494,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,1,0.19970900542949474,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007517342874939862,tier0:net_sent_Pps,0.00040835068966915656,tier0:mem_inactive_bytes,0.00036410392189699994,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,4,4.0,124.0,0.007316071314600471,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,1,0.19951503522677705,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007551083714724924,tier0:net_sent_Pps,0.00040642754465647487,tier0:mem_inactive_bytes,0.0003630615185659949,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,5,5.0,125.0,0.00730747877840353,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007581276726456181,tier0:net_sent_Pps,0.0004086016989684199,tier0:mem_inactive_bytes,0.0003624129997089737,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,6,6.0,126.0,0.007299464424923492,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007608300548680652,tier0:net_sent_Pps,0.00040907177037451597,tier0:mem_inactive_bytes,0.00036129703891057854,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,7,7.0,127.0,0.007311223519161199,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007632910540055214,tier0:net_sent_Pps,0.0004137580223732025,tier0:mem_inactive_bytes,0.0003598970606474309,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,8,8.0,128.0,0.007276799103708688,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007656024334884606,tier0:net_sent_Pps,0.00040434845358242413,tier0:mem_inactive_bytes,0.0003591228389195358,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,9,9.0,129.0,0.007279154545270563,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007678468657650474,tier0:net_sent_Pps,0.0004082055115365019,tier0:mem_inactive_bytes,0.000358585478352416,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,10,10.0,130.0,0.007273074053014354,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007699877538027695,tier0:net_sent_Pps,0.00040774654993791303,tier0:mem_inactive_bytes,0.0003578417510657893,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,11,11.0,131.0,0.007251252716843115,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007718890727860736,tier0:net_sent_Pps,0.00040332603845798844,tier0:mem_inactive_bytes,0.00035667352358267576,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,12,12.0,132.0,0.007255384906122657,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007736034732887921,tier0:net_sent_Pps,0.0004036915852603818,tier0:mem_inactive_bytes,0.0003562173154171129,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,13,13.0,133.0,0.007256818390481033,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007752427280366547,tier0:net_sent_Pps,0.00040350026028973263,tier0:mem_inactive_bytes,0.00035596524333704,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,14,14.0,134.0,0.007259132011084978,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007767695581443231,tier0:net_sent_Pps,0.0004047304938152635,tier0:mem_inactive_bytes,0.0003548650444387817,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,15,15.0,135.0,0.007244134471642156,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007782068265405216,tier0:net_sent_Pps,0.0004042491361017541,tier0:mem_inactive_bytes,0.0003535779875982081,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,16,16.0,136.0,0.007239918272334051,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.00077955844991112,tier0:net_sent_Pps,0.00040558436829143745,tier0:mem_inactive_bytes,0.0003524491429502707,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,17,17.0,137.0,0.007228666490911256,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007807322665867338,tier0:net_sent_Pps,0.0004061711036394609,tier0:mem_inactive_bytes,0.0003518933892342031,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,18,18.0,138.0,0.007225111170288661,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007817640758488007,tier0:net_sent_Pps,0.0004068265374051487,tier0:mem_inactive_bytes,0.0003507771925771367,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,19,19.0,139.0,0.007161225595110601,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007827318958720137,tier0:net_sent_Pps,0.000401361337126664,tier0:mem_inactive_bytes,0.0003501448166872709,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,20,20.0,140.0,0.007149037402123397,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007835227885071579,tier0:net_sent_Pps,0.00039952034313653465,tier0:mem_inactive_bytes,0.00035026062383163167,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,21,21.0,141.0,0.0071378577742517175,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.000784209895130036,tier0:net_sent_Pps,0.0003992901551144595,tier0:mem_inactive_bytes,0.00035003735908310503,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,22,22.0,142.0,0.007100926409471216,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007848764216834538,tier0:net_sent_Pps,0.00038752344131905126,tier0:mem_inactive_bytes,0.0003493079656171365,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,23,23.0,143.0,0.007080038289271691,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007854626201170177,tier0:net_sent_Pps,0.00038306243309330616,tier0:mem_inactive_bytes,0.0003494916471847449,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,24,24.0,144.0,0.007086524208547685,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007859382253008852,tier0:net_sent_Pps,0.00038059412175834667,tier0:mem_inactive_bytes,0.0003500635888595653,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,25,25.0,145.0,0.007073623309751285,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007863006707478033,tier0:net_sent_Pps,0.0003788229517321058,tier0:mem_inactive_bytes,0.0003491902328557144,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,26,26.0,146.0,0.007065471622326314,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007864864268182634,tier0:net_sent_Pps,0.00037834464662510987,tier0:mem_inactive_bytes,0.0003485635263058047,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,27,27.0,147.0,0.0070509050792826695,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007867024597608274,tier0:net_sent_Pps,0.0003780797053838939,tier0:mem_inactive_bytes,0.00034797394646119274,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,28,28.0,148.0,0.007032061295284223,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007867967269051472,tier0:net_sent_Pps,0.00037624318198665975,tier0:mem_inactive_bytes,0.0003469321829440679,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,29,29.0,149.0,0.007021403223921568,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007869352620351922,tier0:net_sent_Pps,0.0003775213981959313,tier0:mem_inactive_bytes,0.000345765144940124,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,30,30.0,150.0,0.007004656388078642,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007870216698260022,tier0:net_sent_Pps,0.00037917520870399906,tier0:mem_inactive_bytes,0.00034520424846880927,full
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,ANOMALY,1,31,31.0,151.0,0.006989590886133535,0.25066904549509367,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.02200798108405764,tier0,memory_io,tier0:uptime_s,0.0007870442559639567,tier0:net_sent_Pps,0.00037780746426446186,tier0:mem_inactive_bytes,0.00034509985321361437,full
