config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,conf_0.00,0.0,13,0.65,0.35,0.38461538461538464,0.6153846153846154,0.35,0.27999999999999997,full
tier0,conf_0.05,0.05,11,0.55,0.44999999999999996,0.45454545454545453,0.6363636363636364,0.35,0.27999999999999997,full
tier0,trained,0.09269545041030616,8,0.4,0.6,0.5,0.5,0.4,0.29333333333333333,full
tier0,conf_0.10,0.1,7,0.35,0.65,0.5714285714285714,0.5714285714285714,0.4,0.29333333333333333,full
tier0,conf_0.15,0.15,4,0.2,0.8,0.5,0.5,0.3333333333333333,0.16,full
tier0,conf_0.20,0.2,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.16,full
tier0,conf_0.25,0.25,2,0.1,0.9,1.0,1.0,1.0,0.2,full
tier0_tier1,trained,-0.03673347787443254,16,0.8,0.19999999999999996,0.3125,0.4375,0.3,0.31714285714285717,full
tier0_tier1,conf_0.00,0.0,14,0.7,0.30000000000000004,0.21428571428571427,0.35714285714285715,0.2,0.18,full
tier0_tier1,conf_0.05,0.05,11,0.55,0.44999999999999996,0.18181818181818182,0.36363636363636365,0.13333333333333333,0.11428571428571428,full
tier0_tier1,conf_0.10,0.1,7,0.35,0.65,0.14285714285714285,0.42857142857142855,0.1,0.13333333333333333,full
tier0_tier1,conf_0.15,0.15,4,0.2,0.8,0.0,0.25,0.0,0.0,full
tier0_tier1,conf_0.20,0.2,1,0.05,0.95,0.0,1.0,0.0,0.0,full
tier0_tier1,conf_0.25,0.25,1,0.05,0.95,0.0,1.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.00,0.0,16,0.8,0.19999999999999996,0.1875,0.4375,0.2,0.14666666666666667,full
tier0_tier1_tier2,conf_0.05,0.05,13,0.65,0.35,0.23076923076923078,0.5384615384615384,0.2,0.16666666666666666,full
tier0_tier1_tier2,trained,0.05363570535576792,13,0.65,0.35,0.23076923076923078,0.5384615384615384,0.2,0.16666666666666666,full
tier0_tier1_tier2,conf_0.10,0.1,10,0.5,0.5,0.3,0.7,0.3,0.21333333333333332,full
tier0_tier1_tier2,conf_0.15,0.15,4,0.2,0.8,0.0,0.5,0.0,0.0,full
tier0_tier1_tier2,conf_0.20,0.2,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,full
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.0,0.5,0.0,0.0,full
