config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,trained,-0.01411227537728805,11,0.55,0.44999999999999996,0.18181818181818182,0.6363636363636364,0.16666666666666666,0.19047619047619047,mixed
tier0,conf_0.00,0.0,10,0.5,0.5,0.2,0.6,0.20833333333333331,0.19047619047619047,mixed
tier0,conf_0.05,0.05,8,0.4,0.6,0.25,0.625,0.20833333333333331,0.2,mixed
tier0,conf_0.10,0.1,6,0.3,0.7,0.16666666666666666,0.5,0.08333333333333333,0.06666666666666667,mixed
tier0,conf_0.15,0.15,3,0.15,0.85,0.3333333333333333,0.6666666666666666,0.25,0.1,mixed
tier0,conf_0.20,0.2,1,0.05,0.95,1.0,1.0,1.0,0.2,mixed
tier0,conf_0.25,0.25,1,0.05,0.95,1.0,1.0,1.0,0.2,mixed
tier0_tier1,conf_0.00,0.0,15,0.75,0.25,0.2,0.7333333333333333,0.26666666666666666,0.14666666666666667,mixed
tier0_tier1,trained,0.009797226983543059,13,0.65,0.35,0.23076923076923078,0.6923076923076923,0.3,0.18888888888888888,mixed
tier0_tier1,conf_0.05,0.05,10,0.5,0.5,0.2,0.8,0.3,0.15714285714285714,mixed
tier0_tier1,conf_0.10,0.1,7,0.35,0.65,0.14285714285714285,0.8571428571428571,0.2,0.06666666666666667,mixed
tier0_tier1,conf_0.15,0.15,4,0.2,0.8,0.25,0.75,0.25,0.08,mixed
tier0_tier1,conf_0.20,0.2,1,0.05,0.95,0.0,0.0,0.0,0.0,mixed
tier0_tier1,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1_tier2,conf_0.00,0.0,15,0.75,0.25,0.13333333333333333,0.6,0.13333333333333333,0.10666666666666666,mixed
tier0_tier1_tier2,trained,0.019970826140860314,10,0.5,0.5,0.2,0.5,0.3,0.16666666666666666,mixed
tier0_tier1_tier2,conf_0.05,0.05,6,0.3,0.7,0.16666666666666666,0.5,0.2,0.06666666666666667,mixed
tier0_tier1_tier2,conf_0.10,0.1,3,0.15,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,mixed
tier0_tier1_tier2,conf_0.15,0.15,3,0.15,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,mixed
tier0_tier1_tier2,conf_0.20,0.2,3,0.15,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,mixed
tier0_tier1_tier2,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
